location_name,location,season,K,B,M,Q,nu,N,peak_time,A
Florida,12,2022/2023,0.33578356973288814,0.2278140371440961,0.8217480880251052,1.8013986786010903,0.148260159473345,23028.34296647659,10.290700000000001,1.0
Florida,12,2023/2024,0.307841662658452,0.1620876105000517,0.7900837528637829,1.9668294501261343,0.23498561173644103,33369.92491850342,12.3809,1.0
Florida,12,2024/2025,0.276492382123716,0.25211910817322936,2.6289173241758355,6.7428617295805715,0.17502517208937415,55652.48776612556,15.732600000000001,1.0
Georgia,13,2021/2022,0.5380507321483948,0.05617725255843177,0.6521869058768724,0.772577147173036,0.2078747016748976,8779.27800146007,22.2072,1.0
Georgia,13,2022/2023,0.4523756831180193,0.16436539014808227,0.6226398309231852,0.5608402547184024,0.17340950740201494,11233.436278850744,6.5840000000000005,1.0
Georgia,13,2023/2024,0.3993422516997707,0.32535337836108985,1.182813829821994,3.095062368008106,0.05822032020500608,14817.965390529109,12.1425,1.0
Georgia,13,2024/2025,0.3442485886801552,0.2780876587912011,1.3971919800038544,3.746722570101485,0.0557219404565783,21829.257498597806,15.1698,1.0
Hawaii,15,2021/2022,0.9576504318168194,0.15825640836169527,1.9377221859998066,4.681468976592926,0.04036806572357012,6043.483847493703,31.2405,1.0
Hawaii,15,2022/2023,0.8765129184839916,0.17324563411580712,0.7211804712578481,1.0782184892406816,0.21815604735826793,6245.911540984378,8.7322,1.0
Hawaii,15,2023/2024,0.7802492843020769,0.1439099579116733,0.6806118541595941,0.9882056935423577,0.19993764199872122,6283.02142007989,10.2985,1.0
Hawaii,15,2024/2025,0.6292389258984595,0.18652994758743316,0.7798583738052568,1.4956747190207174,0.07015494113872463,7178.952062534651,15.949800000000002,1.0
Idaho,16,2021/2022,0.8991222845089382,0.22326060022195762,2.775808625913363,6.54997889286185,0.0279518674517953,6098.647211283161,26.1965,1.0
Idaho,16,2022/2023,0.6043756704362394,0.6184514417253709,10.885804450104608,1.3403416596279976,0.8534320130888592,7217.453116493294,9.9883,1.0
Idaho,16,2023/2024,0.6225291868060535,0.2173978323901332,0.7718608554164691,1.3735690808287593,0.06455403567896122,7293.213849481504,13.7011,1.0
Idaho,16,2024/2025,0.5258736687660664,0.2069705803876645,0.7991617046552457,1.5045513213615147,0.07981538293864153,8858.964474892035,13.7972,1.0
Illinois,17,2021/2022,0.6349201702354698,0.4352951624436833,28.63749087565468,1.651844475603698,2.4353466794696845,7208.707961470333,28.5852,1.0
